,year,items,items_per_star-pu
0,1998,42615600.0,1583.3630879288237
1,1999,38637200.0,1430.0154004277774
2,2000,36875908.1,1359.3481814120212
3,2001,37914029.0,1391.3692857465144
4,2002,36948880.0,1348.879260191006
5,2003,37597529.0,1364.8399438122353
6,2004,36463038.0,1315.6105126562206
7,2005,37240737.0,1332.080613333578
8,2006,37175639.0,1319.3101702458619
9,2007,39175949.0,1377.1843785887877
10,2008,38876144.0,1352.9344631243166
11,2009,38743939.0,1335.989240262819
12,2010,40222961.0,1372.7751894235696
13,2011,40802561.0,1378.4446224733574
14,2012,43273781.0,1445.744667210137
15,2013,41617618.0,1377.6213431539456
16,2014,41684016.0,1365.3995524128698
17,2015,39363789.0,1277.485513123367
18,2016,38572653.0,1240.4968381662782
